condition,wording,task,n,reference_class_count,accuracy,macro_f1_fixed_labels,balanced_accuracy_fixed_labels,invalid_answer_rate
answer_frequency,canonical,q1,1597,1,1.0,1.0,1.0,0.0
answer_frequency,canonical,q2,997,4,0.7392176529588766,0.21251441753171857,0.25,0.0
answer_frequency,canonical,q3,1597,1,1.0,1.0,1.0,0.0
answer_frequency,canonical,q4.bleeding,1597,2,0.42204132748904194,0.29678555702333775,0.5,0.0
answer_frequency,canonical,q4.smoke,1597,1,1.0,0.5,0.5,0.0
answer_frequency,canonical,q4.occlusion,1597,2,0.9611772072636193,0.4901021711366539,0.5,0.0
answer_frequency,canonical,q5,1597,2,0.9442705072010019,0.3237788513150832,0.3333333333333333,0.0
answer_frequency,canonical,q6,1597,2,0.9724483406386976,0.493015873015873,0.5,0.0
answer_frequency,canonical,q7,1597,2,0.9705698184095178,0.4925325707022561,0.5,0.0
answer_frequency,canonical,q8.mask_center_5pct_v1,1597,2,0.7532874139010645,0.42964285714285716,0.5,0.0
answer_frequency,canonical,q9,1597,1,1.0,0.5,0.5,0.0
answer_frequency,heldout_paraphrase,q1,1597,1,1.0,1.0,1.0,0.0
answer_frequency,heldout_paraphrase,q2,997,4,0.7392176529588766,0.21251441753171857,0.25,0.0
answer_frequency,heldout_paraphrase,q3,1597,1,1.0,1.0,1.0,0.0
answer_frequency,heldout_paraphrase,q4.bleeding,1597,2,0.42204132748904194,0.29678555702333775,0.5,0.0
answer_frequency,heldout_paraphrase,q4.smoke,1597,1,1.0,0.5,0.5,0.0
answer_frequency,heldout_paraphrase,q4.occlusion,1597,2,0.9611772072636193,0.4901021711366539,0.5,0.0
answer_frequency,heldout_paraphrase,q5,1597,2,0.9442705072010019,0.3237788513150832,0.3333333333333333,0.0
answer_frequency,heldout_paraphrase,q6,1597,2,0.9724483406386976,0.493015873015873,0.5,0.0
answer_frequency,heldout_paraphrase,q7,1597,2,0.9705698184095178,0.4925325707022561,0.5,0.0
answer_frequency,heldout_paraphrase,q8.mask_center_5pct_v1,1597,2,0.7532874139010645,0.42964285714285716,0.5,0.0
answer_frequency,heldout_paraphrase,q9,1597,1,1.0,0.5,0.5,0.0
image_only,canonical,q1,1597,1,0.0,0.0,0.0,1.0
image_only,canonical,q2,997,4,0.0010030090270812437,0.011627906976744186,0.005952380952380952,0.9939819458375125
image_only,canonical,q3,1597,1,0.0,0.0,0.0,1.0
image_only,canonical,q4.bleeding,1597,2,0.4596117720726362,0.44404970475634287,0.49848095649909496,0.003757044458359424
image_only,canonical,q4.smoke,1597,1,0.7476518472135254,0.42780365460408454,0.3738259236067627,0.003757044458359424
image_only,canonical,q4.occlusion,1597,2,0.7426424546023794,0.48352122087383875,0.5952663654512976,0.003757044458359424
image_only,canonical,q5,1597,2,0.0,0.0,0.0,1.0
image_only,canonical,q6,1597,2,0.7288666249217283,0.4370597650539405,0.4520502839079787,0.003757044458359424
image_only,canonical,q7,1597,2,0.25923606762680024,0.22198493767348845,0.4636513383665065,0.003757044458359424
image_only,canonical,q8.mask_center_5pct_v1,1597,2,0.4746399499060739,0.4755305415617128,0.6367805106523032,0.003757044458359424
image_only,canonical,q9,1597,1,0.0,0.0,0.0,1.0
