task_group,task_count,condition_a,wording_a,condition_b,wording_b,estimate_a,estimate_b,delta_macro_f1,ci_low,ci_high
primary_seven,7,image_question,canonical,answer_frequency,canonical,0.540134926148988,0.39119604255254,0.14893888359644797,0.11648246766603781,0.17517418305372606
primary_seven,7,image_question,canonical,question_only,canonical,0.540134926148988,0.255219792296751,0.28491513385223693,0.2562780364208566,0.3065218580299575
primary_seven,7,image_question,canonical,image_only,canonical,0.540134926148988,0.29625343955658107,0.24388148659240688,0.21071963397290305,0.27599696200930346
primary_seven,7,image_question,heldout_paraphrase,image_question,canonical,0.5276872193637524,0.540134926148988,-0.012447706785235546,-0.021604515679372827,-0.0024930132080493994
primary_seven,7,image_question,wrong_question,image_question,canonical,0.11265492982370622,0.540134926148988,-0.4274799963252817,-0.455505728552555,-0.3959012781843369
perceptual_five,5,image_question,canonical,answer_frequency,canonical,0.5292310437531647,0.4192430046386407,0.10998803911452393,0.07396702247662362,0.1590194664509591
perceptual_five,5,image_question,canonical,question_only,canonical,0.5292310437531647,0.27097953738727953,0.2582515063658851,0.21758957883820873,0.29991567201194347
perceptual_five,5,image_question,canonical,image_only,canonical,0.5292310437531647,0.3173231256715221,0.21190791808164255,0.18326105419893246,0.24716498675172438
perceptual_five,5,image_question,heldout_paraphrase,image_question,canonical,0.5207234568927499,0.5292310437531647,-0.008507586860414751,-0.017106179096609275,0.003467835826850174
perceptual_five,5,image_question,wrong_question,image_question,canonical,0.1577169017531887,0.5292310437531647,-0.37151414199997596,-0.4163574669443104,-0.33511523692693795
audit_supported_five,5,image_question,canonical,answer_frequency,canonical,0.5323527962580451,0.3511475112057739,0.18120528505227118,0.14513294876867655,0.20377498654330967
audit_supported_five,5,image_question,canonical,question_only,canonical,0.5323527962580451,0.2513268129170737,0.2810259833409714,0.24763954886429723,0.3031509658414399
audit_supported_five,5,image_question,canonical,image_only,canonical,0.5323527962580451,0.2736535836697481,0.258699212588297,0.2203856896728582,0.29386712037407275
audit_supported_five,5,image_question,heldout_paraphrase,image_question,canonical,0.5243867770361152,0.5323527962580451,-0.007966019221929854,-0.013674310114766164,-0.002485925063210548
audit_supported_five,5,image_question,wrong_question,image_question,canonical,0.07048616687362189,0.5323527962580451,-0.46186662938442324,-0.4931559992596181,-0.424236173214499
audited_perceptual_three,3,image_question,canonical,answer_frequency,canonical,0.5089915723377111,0.37119342711809794,0.13779814521961314,0.08504431623971831,0.19073234421242397
audited_perceptual_three,3,image_question,canonical,question_only,canonical,0.5089915723377111,0.2749977351481698,0.2339938371895413,0.17754307431224692,0.28875440288070175
audited_perceptual_three,3,image_question,canonical,image_only,canonical,0.5089915723377111,0.2937031566034278,0.2152884157342833,0.18269885365454486,0.25178060616205994
audited_perceptual_three,3,image_question,heldout_paraphrase,image_question,canonical,0.5105802113660197,0.5089915723377111,0.001588639028308636,-0.00456409801226576,0.005058372231109998
audited_perceptual_three,3,image_question,wrong_question,image_question,canonical,0.1174769447893698,0.5089915723377111,-0.39151462754834127,-0.4501060191986935,-0.32833071648424667
