task,condition,human_label,prediction_label,count
q4.bleeding,majority_prior,no,no,28
q4.bleeding,majority_prior,no,yes,0
q4.bleeding,majority_prior,yes,no,12
q4.bleeding,majority_prior,yes,yes,0
q4.bleeding,rgb_linear,no,no,14
q4.bleeding,rgb_linear,no,yes,14
q4.bleeding,rgb_linear,yes,no,4
q4.bleeding,rgb_linear,yes,yes,8
q4.bleeding,mask_linear,no,no,15
q4.bleeding,mask_linear,no,yes,13
q4.bleeding,mask_linear,yes,no,4
q4.bleeding,mask_linear,yes,yes,8
q4.bleeding,rgb_mask_linear,no,no,17
q4.bleeding,rgb_mask_linear,no,yes,11
q4.bleeding,rgb_mask_linear,yes,no,3
q4.bleeding,rgb_mask_linear,yes,yes,9
q5,majority_prior,clear,clear,39
q5,majority_prior,clear,degraded,0
q5,majority_prior,degraded,clear,1
q5,majority_prior,degraded,degraded,0
q5,rgb_linear,clear,clear,37
q5,rgb_linear,clear,degraded,2
q5,rgb_linear,degraded,clear,1
q5,rgb_linear,degraded,degraded,0
q5,mask_linear,clear,clear,28
q5,mask_linear,clear,degraded,11
q5,mask_linear,degraded,clear,1
q5,mask_linear,degraded,degraded,0
q5,rgb_mask_linear,clear,clear,38
q5,rgb_mask_linear,clear,degraded,1
q5,rgb_mask_linear,degraded,clear,1
q5,rgb_mask_linear,degraded,degraded,0
q6,majority_prior,no,no,32
q6,majority_prior,no,yes,0
q6,majority_prior,yes,no,8
q6,majority_prior,yes,yes,0
q6,rgb_linear,no,no,32
q6,rgb_linear,no,yes,0
q6,rgb_linear,yes,no,7
q6,rgb_linear,yes,yes,1
q6,mask_linear,no,no,25
q6,mask_linear,no,yes,7
q6,mask_linear,yes,no,6
q6,mask_linear,yes,yes,2
q6,rgb_mask_linear,no,no,32
q6,rgb_mask_linear,no,yes,0
q6,rgb_mask_linear,yes,no,7
q6,rgb_mask_linear,yes,yes,1
