condition,wording,task_group,task_count,mean_macro_f1_fixed_labels,mean_invalid_answer_rate
answer_frequency,canonical,all_applicable_tasks,11,0.5216702088970709,0.0
answer_frequency,canonical,primary_discriminative_tasks,7,0.39119604255254,0.0
answer_frequency,canonical,perceptual_tasks,5,0.4192430046386407,0.0
answer_frequency,heldout_paraphrase,all_applicable_tasks,11,0.5216702088970709,0.0
answer_frequency,heldout_paraphrase,primary_discriminative_tasks,7,0.39119604255254,0.0
answer_frequency,heldout_paraphrase,perceptual_tasks,5,0.4192430046386407,0.0
image_only,canonical,all_applicable_tasks,11,0.22741615740910473,0.45604765568978806
image_only,canonical,primary_discriminative_tasks,7,0.29625343955658107,0.2875381668756157
image_only,canonical,perceptual_tasks,5,0.3173231256715221,0.20300563556668755
image_only,heldout_paraphrase,all_applicable_tasks,11,0.22741615740910473,0.45604765568978806
image_only,heldout_paraphrase,primary_discriminative_tasks,7,0.29625343955658107,0.2875381668756157
image_only,heldout_paraphrase,perceptual_tasks,5,0.3173231256715221,0.20300563556668755
image_question,canonical,all_applicable_tasks,11,0.6164352627724291,0.0
image_question,canonical,primary_discriminative_tasks,7,0.540134926148988,0.0
image_question,canonical,perceptual_tasks,5,0.5292310437531647,0.0
image_question,heldout_paraphrase,all_applicable_tasks,11,0.5644396567137799,0.09483691011555759
image_question,heldout_paraphrase,primary_discriminative_tasks,7,0.5276872193637524,0.0
image_question,heldout_paraphrase,perceptual_tasks,5,0.5207234568927499,0.0
image_question,wrong_question,all_applicable_tasks,11,0.11550750569178203,0.6363636363636364
image_question,wrong_question,primary_discriminative_tasks,7,0.11265492982370622,0.5714285714285714
image_question,wrong_question,perceptual_tasks,5,0.1577169017531887,0.4
question_only,canonical,all_applicable_tasks,11,0.4351398678252052,0.0
question_only,canonical,primary_discriminative_tasks,7,0.255219792296751,0.0
question_only,canonical,perceptual_tasks,5,0.27097953738727953,0.0
question_only,heldout_paraphrase,all_applicable_tasks,11,0.4351398678252052,0.0
question_only,heldout_paraphrase,primary_discriminative_tasks,7,0.255219792296751,0.0
question_only,heldout_paraphrase,perceptual_tasks,5,0.27097953738727953,0.0
