comparison,task_group,condition_a,wording_a,condition_b,wording_b,bootstrap_unit,bootstrap_replicates,estimate_a,estimate_b,delta,ci_low,ci_high
image_question_vs_question_only,primary_discriminative_tasks,image_question,canonical,question_only,canonical,source_sequence_stratified_by_site,5000,0.540134926148988,0.255219792296751,0.28491513385223693,0.2562780364208566,0.3065218580299575
image_question_vs_question_only,perceptual_tasks,image_question,canonical,question_only,canonical,source_sequence_stratified_by_site,5000,0.5292310437531647,0.27097953738727953,0.2582515063658851,0.21758957883820873,0.29991567201194347
image_question_vs_image_only,primary_discriminative_tasks,image_question,canonical,image_only,canonical,source_sequence_stratified_by_site,5000,0.540134926148988,0.29625343955658107,0.24388148659240688,0.21071963397290305,0.2759210664714175
image_question_vs_image_only,perceptual_tasks,image_question,canonical,image_only,canonical,source_sequence_stratified_by_site,5000,0.5292310437531647,0.3173231256715221,0.21190791808164255,0.18326105419893246,0.24723955768361605
image_question_vs_answer_frequency,primary_discriminative_tasks,image_question,canonical,answer_frequency,canonical,source_sequence_stratified_by_site,5000,0.540134926148988,0.39119604255254,0.14893888359644797,0.11648246766603781,0.17741860529936077
image_question_vs_answer_frequency,perceptual_tasks,image_question,canonical,answer_frequency,canonical,source_sequence_stratified_by_site,5000,0.5292310437531647,0.4192430046386407,0.10998803911452393,0.07396702247662362,0.15986423378162856
heldout_paraphrase_vs_canonical,primary_discriminative_tasks,image_question,heldout_paraphrase,image_question,canonical,source_sequence_stratified_by_site,5000,0.5276872193637524,0.540134926148988,-0.012447706785235546,-0.020662901380703258,-0.0017851613483084172
heldout_paraphrase_vs_canonical,perceptual_tasks,image_question,heldout_paraphrase,image_question,canonical,source_sequence_stratified_by_site,5000,0.5207234568927499,0.5292310437531647,-0.008507586860414751,-0.017106179096609275,0.0030291092317047408
wrong_question_vs_canonical,primary_discriminative_tasks,image_question,wrong_question,image_question,canonical,source_sequence_stratified_by_site,5000,0.11265492982370622,0.540134926148988,-0.4274799963252817,-0.45607458598644246,-0.3959012781843369
wrong_question_vs_canonical,perceptual_tasks,image_question,wrong_question,image_question,canonical,source_sequence_stratified_by_site,5000,0.1577169017531887,0.5292310437531647,-0.37151414199997596,-0.4250851714024211,-0.33511523692693795
