condition,wording,task_group,task_count,mean_macro_f1_fixed_labels,ci_low,ci_high
answer_frequency,canonical,primary_seven,7,0.39119604255254,0.37938637655143465,0.40257107542525555
answer_frequency,canonical,perceptual_five,5,0.4192430046386407,0.4091367537627775,0.4285983887170614
answer_frequency,canonical,audit_supported_five,5,0.3511475112057739,0.3360182397538216,0.3649563645016097
answer_frequency,canonical,audited_perceptual_three,3,0.37119342711809794,0.356368651731581,0.3847952430936396
question_only,canonical,primary_seven,7,0.255219792296751,0.2454446021802823,0.26323751601226786
question_only,canonical,perceptual_five,5,0.27097953738727953,0.2609308940280804,0.28027067183837145
question_only,canonical,audit_supported_five,5,0.2513268129170737,0.24021756531493263,0.26054899874934406
question_only,canonical,audited_perceptual_three,3,0.2749977351481698,0.2614810190229861,0.2872608159658662
image_only,canonical,primary_seven,7,0.29625343955658107,0.27060954275729826,0.31741581452450923
image_only,canonical,perceptual_five,5,0.3173231256715221,0.3002635704341765,0.3325958511153926
image_only,canonical,audit_supported_five,5,0.2736535836697481,0.2441949308400277,0.2987328597629629
image_only,canonical,audited_perceptual_three,3,0.2937031566034278,0.26741681162381487,0.31498264428321676
image_question,canonical,primary_seven,7,0.540134926148988,0.5104249883055242,0.5659690837764391
image_question,canonical,perceptual_five,5,0.5292310437531647,0.49078982392491605,0.5748968263198101
image_question,canonical,audit_supported_five,5,0.5323527962580451,0.49811956429106735,0.5575567885302525
image_question,canonical,audited_perceptual_three,3,0.5089915723377111,0.4514883291137486,0.5683104569065177
image_question,heldout_paraphrase,primary_seven,7,0.5276872193637524,0.49908187546858546,0.5552643885343571
image_question,heldout_paraphrase,perceptual_five,5,0.5207234568927499,0.4903739676090389,0.570752841354278
image_question,heldout_paraphrase,audit_supported_five,5,0.5243867770361152,0.492703462738654,0.5458297531752537
image_question,heldout_paraphrase,audited_perceptual_three,3,0.5105802113660197,0.45670986655316664,0.5636624754056959
image_question,wrong_question,primary_seven,7,0.11265492982370622,0.10484525310464841,0.11891875525752583
image_question,wrong_question,perceptual_five,5,0.1577169017531887,0.14678335434650777,0.16648625736053618
image_question,wrong_question,audit_supported_five,5,0.07048616687362189,0.059523730148005306,0.08052107764294951
image_question,wrong_question,audited_perceptual_three,3,0.1174769447893698,0.09920621691334218,0.13420179607158253
