condition,wording,task,n,reference_class_count,accuracy,macro_f1_fixed_labels,balanced_accuracy_fixed_labels,invalid_answer_rate
answer_frequency,canonical,q4.bleeding,40,2,0.7,0.4117647058823529,0.5,0.0
answer_frequency,canonical,q5,40,2,0.975,0.4936708860759494,0.5,0.0
answer_frequency,canonical,q6,40,2,0.8,0.4444444444444444,0.5,0.0
question_only,canonical,q4.bleeding,40,2,0.7,0.4117647058823529,0.5,0.0
question_only,canonical,q5,40,2,0.025,0.024390243902439025,0.5,0.0
question_only,canonical,q6,40,2,0.8,0.4444444444444444,0.5,0.0
image_only,canonical,q4.bleeding,40,2,0.55,0.39999999999999997,0.4166666666666667,0.0
image_only,canonical,q5,40,2,0.0,0.0,0.0,1.0
image_only,canonical,q6,40,2,0.65,0.453125,0.453125,0.0
image_question,canonical,q4.bleeding,40,2,0.7,0.696969696969697,0.7857142857142857,0.0
image_question,canonical,q5,40,2,0.925,0.4805194805194805,0.47435897435897434,0.0
image_question,canonical,q6,40,2,0.75,0.42857142857142855,0.46875,0.0
image_question,heldout_paraphrase,q4.bleeding,40,2,0.675,0.6731615336266499,0.7678571428571428,0.0
image_question,heldout_paraphrase,q5,40,2,0.925,0.4805194805194805,0.47435897435897434,0.0
image_question,heldout_paraphrase,q6,40,2,0.75,0.42857142857142855,0.46875,0.0
image_question,wrong_question,q4.bleeding,40,2,0.7,0.4117647058823529,0.5,0.0
image_question,wrong_question,q5,40,2,0.0,0.0,0.0,1.0
image_question,wrong_question,q6,40,2,0.2,0.18158567774936063,0.453125,0.0
