sample_id,record_id,machine_model,q1_value,q1_confidence,q2_value,q2_confidence,q3_value,q3_confidence,q5_value,q5_confidence,q6_value,q6_confidence,q7_value,q7_confidence,q8_value,q8_confidence,q9_value,q9_confidence,q4_bleeding,q4_smoke,q4_occlusion,q4_confidence
HR0001,site1/test/video10frame026,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0002,site1/test/video10frame059,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,endoscopic,0.9,clear,0.8,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.7
HR0003,site1/test/video10frame111,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0004,site1/test/video10frame137,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0005,site1/test/video10frame138,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,blurry,0.6,yes,0.5,no,0.6,yes,0.7,none,0.9,yes,no,yes,0.7
HR0006,site1/test/video10frame167,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.8,none,0.9,no,no,no,0.9
HR0007,site1/test/video10frame225,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0008,site1/test/video10frame248,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0009,site1/test/video10frame272,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0010,site1/test/video9frame007,gpt-4o-mini,other abdominal procedure,0.7,small intestine,0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
